Epoch, Loss, Dice Score, Dice Loss, CE Loss, Additional Loss, Time
1, 1.8803, 0.3567, 0.6433, 0.8118, 0.4252, 300.70
2, 1.2042, 0.4940, 0.5060, 0.4640, 0.2342, 312.77
3, 1.0285, 0.5524, 0.4476, 0.3798, 0.2010, 313.39
4, 0.9318, 0.5897, 0.4103, 0.3370, 0.1844, 313.35
5, 0.8735, 0.6128, 0.3872, 0.3124, 0.1739, 313.08
6, 0.8303, 0.6300, 0.3700, 0.2944, 0.1659, 313.11
7, 0.7990, 0.6431, 0.3569, 0.2818, 0.1602, 313.12
8, 0.7744, 0.6523, 0.3477, 0.2721, 0.1546, 312.86
9, 0.7530, 0.6604, 0.3396, 0.2632, 0.1502, 312.89
10, 0.7351, 0.6673, 0.3327, 0.2556, 0.1468, 313.42
11, 0.7185, 0.6731, 0.3269, 0.2490, 0.1426, 325.64
12, 0.7054, 0.6775, 0.3225, 0.2432, 0.1398, 322.20
13, 0.6954, 0.6818, 0.3182, 0.2391, 0.1381, 320.96
14, 0.6821, 0.6860, 0.3140, 0.2334, 0.1347, 324.05
15, 0.6727, 0.6895, 0.3105, 0.2298, 0.1323, 323.53
16, 0.6632, 0.6926, 0.3074, 0.2255, 0.1303, 321.29
17, 0.6552, 0.6957, 0.3043, 0.2224, 0.1285, 322.00
18, 0.6436, 0.6991, 0.3009, 0.2174, 0.1253, 322.70
19, 0.6424, 0.7007, 0.2993, 0.2173, 0.1258, 319.98
20, 0.6300, 0.7041, 0.2959, 0.2119, 0.1222, 321.77
21, 0.6271, 0.7060, 0.2940, 0.2110, 0.1220, 325.04
22, 0.6188, 0.7087, 0.2913, 0.2075, 0.1199, 319.75
23, 0.6070, 0.7121, 0.2879, 0.2022, 0.1169, 321.19
24, 0.6045, 0.7135, 0.2865, 0.2014, 0.1166, 324.99
25, 0.6012, 0.7150, 0.2850, 0.2002, 0.1160, 321.90
26, 0.5926, 0.7174, 0.2826, 0.1966, 0.1134, 320.60
27, 0.5886, 0.7193, 0.2807, 0.1953, 0.1126, 323.54
28, 0.5821, 0.7211, 0.2789, 0.1922, 0.1110, 321.27
29, 0.5786, 0.7227, 0.2773, 0.1910, 0.1102, 320.87
30, 0.5759, 0.7239, 0.2761, 0.1900, 0.1098, 323.88
31, 0.5699, 0.7260, 0.2740, 0.1875, 0.1083, 323.28
32, 0.5660, 0.7275, 0.2725, 0.1860, 0.1075, 317.97
33, 0.5614, 0.7289, 0.2711, 0.1841, 0.1062, 320.18
34, 0.5574, 0.7309, 0.2691, 0.1828, 0.1055, 321.43
35, 0.5535, 0.7320, 0.2680, 0.1810, 0.1046, 316.90
36, 0.5500, 0.7333, 0.2667, 0.1796, 0.1037, 322.56
37, 0.5425, 0.7356, 0.2644, 0.1763, 0.1017, 324.61
38, 0.5462, 0.7354, 0.2646, 0.1784, 0.1032, 320.60
39, 0.5371, 0.7379, 0.2621, 0.1744, 0.1006, 321.45
40, 0.5378, 0.7385, 0.2615, 0.1750, 0.1013, 325.21
41, 0.5311, 0.7402, 0.2598, 0.1721, 0.0992, 321.04
42, 0.5307, 0.7407, 0.2593, 0.1721, 0.0993, 317.63
43, 0.5236, 0.7427, 0.2573, 0.1691, 0.0973, 325.46
44, 0.5226, 0.7434, 0.2566, 0.1687, 0.0973, 322.22
45, 0.5190, 0.7449, 0.2551, 0.1674, 0.0965, 320.92
46, 0.5183, 0.7456, 0.2544, 0.1673, 0.0966, 325.15
47, 0.5134, 0.7469, 0.2531, 0.1653, 0.0951, 322.00
48, 0.5111, 0.7481, 0.2519, 0.1645, 0.0946, 320.59
49, 0.5092, 0.7488, 0.2512, 0.1637, 0.0943, 323.38
50, 0.5034, 0.7504, 0.2496, 0.1612, 0.0925, 323.82
51, 0.5041, 0.7513, 0.2487, 0.1620, 0.0935, 320.65
52, 0.4979, 0.7525, 0.2475, 0.1592, 0.0912, 322.73
53, 0.4986, 0.7531, 0.2469, 0.1598, 0.0919, 324.16
54, 0.4941, 0.7546, 0.2454, 0.1578, 0.0909, 320.77
55, 0.4945, 0.7548, 0.2452, 0.1583, 0.0910, 321.87
56, 0.4899, 0.7558, 0.2442, 0.1560, 0.0896, 325.35
57, 0.4919, 0.7558, 0.2442, 0.1573, 0.0904, 320.84
58, 0.4874, 0.7574, 0.2426, 0.1555, 0.0893, 320.73
59, 0.4858, 0.7578, 0.2422, 0.1547, 0.0889, 323.08
60, 0.4809, 0.7596, 0.2404, 0.1528, 0.0876, 320.70
61, 0.4791, 0.7604, 0.2396, 0.1522, 0.0873, 315.28
62, 0.4811, 0.7606, 0.2394, 0.1535, 0.0882, 324.67
63, 0.4799, 0.7611, 0.2389, 0.1531, 0.0879, 321.59
64, 0.4731, 0.7625, 0.2375, 0.1499, 0.0857, 320.85
65, 0.4728, 0.7633, 0.2367, 0.1500, 0.0860, 323.69
66, 0.4701, 0.7640, 0.2360, 0.1489, 0.0853, 322.81
67, 0.4703, 0.7646, 0.2354, 0.1492, 0.0857, 320.44
68, 0.4659, 0.7658, 0.2342, 0.1473, 0.0843, 323.14
69, 0.4649, 0.7661, 0.2339, 0.1469, 0.0841, 323.70
70, 0.4677, 0.7659, 0.2341, 0.1485, 0.0851, 320.57
71, 0.4621, 0.7679, 0.2321, 0.1462, 0.0838, 322.19
72, 0.4601, 0.7682, 0.2318, 0.1454, 0.0830, 324.09
73, 0.4550, 0.7700, 0.2300, 0.1432, 0.0819, 320.21
74, 0.4574, 0.7697, 0.2303, 0.1443, 0.0828, 321.54
75, 0.4554, 0.7704, 0.2296, 0.1436, 0.0822, 325.14
76, 0.4539, 0.7708, 0.2292, 0.1430, 0.0818, 316.32
77, 0.4530, 0.7712, 0.2288, 0.1427, 0.0816, 321.13
78, 0.4498, 0.7724, 0.2276, 0.1415, 0.0807, 324.92
79, 0.4485, 0.7730, 0.2270, 0.1410, 0.0805, 321.08
80, 0.4465, 0.7738, 0.2262, 0.1403, 0.0801, 320.31
81, 0.4495, 0.7737, 0.2263, 0.1418, 0.0814, 324.41
82, 0.4450, 0.7744, 0.2256, 0.1397, 0.0797, 322.61
83, 0.4461, 0.7750, 0.2250, 0.1406, 0.0804, 319.47
84, 0.4427, 0.7757, 0.2243, 0.1390, 0.0793, 315.04
85, 0.4404, 0.7765, 0.2235, 0.1382, 0.0787, 312.66
86, 0.4411, 0.7766, 0.2234, 0.1386, 0.0792, 312.70
87, 0.4372, 0.7776, 0.2224, 0.1369, 0.0779, 312.52
