Epoch, Loss, Dice Score, Dice Loss, CE Loss, SkelRec Loss, Time
1, 0.9439, 0.3854, 0.6146, 0.7858, -0.4565, 518.41
2, 0.3151, 0.5407, 0.4593, 0.4453, -0.5895, 518.40
3, 0.1339, 0.6047, 0.3953, 0.3780, -0.6393, 517.09
4, 0.0425, 0.6389, 0.3611, 0.3458, -0.6644, 518.88
5, -0.0103, 0.6590, 0.3410, 0.3266, -0.6779, 517.89
6, -0.0484, 0.6733, 0.3267, 0.3126, -0.6877, 517.26
7, -0.0773, 0.6840, 0.3160, 0.3015, -0.6948, 517.59
8, -0.0991, 0.6912, 0.3088, 0.2921, -0.6999, 518.40
9, -0.1177, 0.6978, 0.3022, 0.2847, -0.7046, 518.17
10, -0.1308, 0.7028, 0.2972, 0.2804, -0.7084, 517.93
11, -0.1460, 0.7077, 0.2923, 0.2741, -0.7124, 518.21
12, -0.1590, 0.7115, 0.2885, 0.2680, -0.7155, 519.30
13, -0.1667, 0.7148, 0.2852, 0.2657, -0.7176, 517.47
14, -0.1796, 0.7184, 0.2816, 0.2594, -0.7205, 517.57
15, -0.1870, 0.7211, 0.2789, 0.2569, -0.7228, 517.52
16, -0.1979, 0.7245, 0.2755, 0.2517, -0.7251, 517.62
17, -0.2055, 0.7269, 0.2731, 0.2487, -0.7273, 517.87
18, -0.2137, 0.7291, 0.2709, 0.2444, -0.7290, 518.02
19, -0.2206, 0.7318, 0.2682, 0.2424, -0.7313, 516.39
20, -0.2285, 0.7341, 0.2659, 0.2387, -0.7332, 517.47
21, -0.2348, 0.7363, 0.2637, 0.2365, -0.7350, 516.88
22, -0.2420, 0.7382, 0.2618, 0.2326, -0.7364, 516.94
23, -0.2498, 0.7408, 0.2592, 0.2293, -0.7383, 516.13
24, -0.2528, 0.7419, 0.2581, 0.2288, -0.7398, 518.17
25, -0.2605, 0.7443, 0.2557, 0.2251, -0.7413, 517.75
26, -0.2657, 0.7458, 0.2542, 0.2228, -0.7428, 518.00
27, -0.2679, 0.7466, 0.2534, 0.2226, -0.7440, 518.32
28, -0.2737, 0.7483, 0.2517, 0.2196, -0.7450, 518.08
29, -0.2763, 0.7494, 0.2506, 0.2191, -0.7460, 517.80
30, -0.2822, 0.7512, 0.2488, 0.2165, -0.7474, 519.44
31, -0.2861, 0.7526, 0.2474, 0.2153, -0.7488, 518.00
32, -0.2925, 0.7544, 0.2456, 0.2122, -0.7502, 518.21
33, -0.2933, 0.7548, 0.2452, 0.2121, -0.7506, 517.84
34, -0.3016, 0.7573, 0.2427, 0.2081, -0.7523, 560.78
35, -0.3034, 0.7580, 0.2420, 0.2077, -0.7531, 572.77
36, -0.3068, 0.7589, 0.2411, 0.2058, -0.7537, 573.58
37, -0.3125, 0.7608, 0.2392, 0.2036, -0.7553, 570.29
38, -0.3146, 0.7618, 0.2382, 0.2033, -0.7561, 574.88
39, -0.3175, 0.7628, 0.2372, 0.2023, -0.7571, 571.46
