Epoch, Loss, Dice Score, Dice Loss, CE Loss, Additional Loss, Time
1, 1.8063, 0.3832, 0.6168, 0.7766, 0.4130, 262.13
2, 1.1301, 0.5293, 0.4707, 0.4440, 0.2155, 261.10
3, 0.9531, 0.5891, 0.4109, 0.3739, 0.1683, 261.20
4, 0.8574, 0.6277, 0.3723, 0.3389, 0.1462, 261.20
5, 0.8023, 0.6502, 0.3498, 0.3185, 0.1340, 261.27
6, 0.7633, 0.6661, 0.3339, 0.3037, 0.1257, 261.29
7, 0.7357, 0.6777, 0.3223, 0.2934, 0.1200, 261.49
8, 0.7133, 0.6859, 0.3141, 0.2834, 0.1158, 261.60
9, 0.6948, 0.6929, 0.3071, 0.2757, 0.1121, 261.24
10, 0.6799, 0.6987, 0.3013, 0.2697, 0.1089, 261.10
11, 0.6648, 0.7040, 0.2960, 0.2627, 0.1062, 261.32
12, 0.6538, 0.7075, 0.2925, 0.2573, 0.1040, 261.39
13, 0.6452, 0.7111, 0.2889, 0.2544, 0.1019, 261.04
14, 0.6333, 0.7148, 0.2852, 0.2484, 0.0997, 261.31
15, 0.6270, 0.7176, 0.2824, 0.2458, 0.0987, 261.54
16, 0.6174, 0.7204, 0.2796, 0.2411, 0.0966, 261.25
17, 0.6099, 0.7230, 0.2770, 0.2376, 0.0953, 261.34
18, 0.6017, 0.7259, 0.2741, 0.2340, 0.0937, 261.41
19, 0.5983, 0.7275, 0.2725, 0.2328, 0.0931, 261.47
20, 0.5891, 0.7303, 0.2697, 0.2281, 0.0914, 261.20
21, 0.5855, 0.7321, 0.2679, 0.2267, 0.0909, 261.43
22, 0.5794, 0.7342, 0.2658, 0.2239, 0.0897, 261.28
23, 0.5691, 0.7371, 0.2629, 0.2185, 0.0876, 261.22
24, 0.5656, 0.7384, 0.2616, 0.2171, 0.0870, 261.54
25, 0.5633, 0.7398, 0.2602, 0.2164, 0.0867, 261.46
26, 0.5564, 0.7418, 0.2582, 0.2128, 0.0854, 261.20
27, 0.5522, 0.7437, 0.2563, 0.2112, 0.0847, 261.30
28, 0.5470, 0.7450, 0.2550, 0.2084, 0.0836, 261.23
29, 0.5439, 0.7466, 0.2534, 0.2073, 0.0832, 261.29
30, 0.5418, 0.7474, 0.2526, 0.2063, 0.0829, 261.33
31, 0.5374, 0.7490, 0.2510, 0.2043, 0.0821, 261.27
32, 0.5326, 0.7508, 0.2492, 0.2021, 0.0812, 261.06
33, 0.5293, 0.7519, 0.2481, 0.2004, 0.0808, 261.24
34, 0.5245, 0.7538, 0.2462, 0.1985, 0.0798, 261.31
35, 0.5228, 0.7542, 0.2458, 0.1976, 0.0794, 261.19
36, 0.5185, 0.7556, 0.2444, 0.1955, 0.0786, 261.07
37, 0.5127, 0.7576, 0.2424, 0.1928, 0.0776, 260.97
38, 0.5143, 0.7576, 0.2424, 0.1939, 0.0780, 261.05
39, 0.5067, 0.7597, 0.2403, 0.1899, 0.0765, 261.38
40, 0.5050, 0.7606, 0.2394, 0.1894, 0.0761, 261.00
41, 0.5016, 0.7617, 0.2383, 0.1877, 0.0757, 261.00
42, 0.5026, 0.7620, 0.2380, 0.1887, 0.0759, 260.93
43, 0.4939, 0.7642, 0.2358, 0.1837, 0.0743, 261.06
44, 0.4931, 0.7647, 0.2353, 0.1836, 0.0742, 261.43
45, 0.4903, 0.7659, 0.2341, 0.1826, 0.0736, 261.16
46, 0.4891, 0.7667, 0.2333, 0.1824, 0.0735, 261.21
47, 0.4853, 0.7679, 0.2321, 0.1802, 0.0729, 261.27
48, 0.4833, 0.7688, 0.2312, 0.1796, 0.0726, 261.37
49, 0.4807, 0.7695, 0.2305, 0.1782, 0.0720, 261.45
50, 0.4771, 0.7708, 0.2292, 0.1765, 0.0714, 261.43
51, 0.4761, 0.7717, 0.2283, 0.1765, 0.0713, 261.26
52, 0.4728, 0.7726, 0.2274, 0.1746, 0.0708, 261.43
53, 0.4723, 0.7731, 0.2269, 0.1748, 0.0706, 261.13
54, 0.4680, 0.7744, 0.2256, 0.1727, 0.0698, 260.83
55, 0.4677, 0.7748, 0.2252, 0.1726, 0.0699, 262.00
56, 0.4647, 0.7754, 0.2246, 0.1709, 0.0692, 261.42
57, 0.4655, 0.7758, 0.2242, 0.1719, 0.0695, 261.09
58, 0.4616, 0.7771, 0.2229, 0.1699, 0.0688, 261.21
59, 0.4605, 0.7772, 0.2228, 0.1692, 0.0685, 261.00
60, 0.4560, 0.7790, 0.2210, 0.1672, 0.0678, 261.16
61, 0.4547, 0.7796, 0.2204, 0.1666, 0.0677, 261.14
62, 0.4551, 0.7799, 0.2201, 0.1672, 0.0678, 261.00
63, 0.4547, 0.7804, 0.2196, 0.1675, 0.0677, 261.20
64, 0.4498, 0.7814, 0.2186, 0.1643, 0.0668, 261.39
65, 0.4489, 0.7821, 0.2179, 0.1644, 0.0667, 261.28
66, 0.4467, 0.7828, 0.2172, 0.1633, 0.0663, 261.37
67, 0.4458, 0.7834, 0.2166, 0.1630, 0.0661, 261.28
68, 0.4430, 0.7843, 0.2157, 0.1615, 0.0657, 261.37
69, 0.4424, 0.7845, 0.2155, 0.1614, 0.0655, 261.41
70, 0.4437, 0.7844, 0.2156, 0.1622, 0.0659, 261.21
71, 0.4384, 0.7863, 0.2137, 0.1598, 0.0649, 261.49
72, 0.4369, 0.7865, 0.2135, 0.1588, 0.0647, 261.24
73, 0.4326, 0.7881, 0.2119, 0.1569, 0.0638, 261.21
74, 0.4343, 0.7877, 0.2123, 0.1579, 0.0641, 261.26
75, 0.4325, 0.7885, 0.2115, 0.1571, 0.0639, 261.20
76, 0.4304, 0.7891, 0.2109, 0.1560, 0.0635, 261.37
77, 0.4302, 0.7894, 0.2106, 0.1560, 0.0635, 261.37
78, 0.4278, 0.7903, 0.2097, 0.1550, 0.0631, 261.16
79, 0.4255, 0.7910, 0.2090, 0.1539, 0.0627, 261.35
80, 0.4259, 0.7914, 0.2086, 0.1544, 0.0628, 261.40
81, 0.4257, 0.7916, 0.2084, 0.1546, 0.0628, 261.33
82, 0.4226, 0.7920, 0.2080, 0.1524, 0.0622, 261.21
83, 0.4237, 0.7927, 0.2073, 0.1539, 0.0625, 261.45
84, 0.4216, 0.7931, 0.2069, 0.1525, 0.0621, 261.13
85, 0.4191, 0.7940, 0.2060, 0.1513, 0.0617, 260.94
86, 0.4196, 0.7942, 0.2058, 0.1519, 0.0618, 261.26
87, 0.4164, 0.7949, 0.2051, 0.1501, 0.0612, 261.30
88, 0.4169, 0.7949, 0.2051, 0.1506, 0.0612, 261.42
89, 0.4131, 0.7965, 0.2035, 0.1489, 0.0607, 261.48
90, 0.4154, 0.7955, 0.2045, 0.1499, 0.0611, 261.46
91, 0.4124, 0.7967, 0.2033, 0.1486, 0.0605, 261.21
92, 0.4098, 0.7976, 0.2024, 0.1472, 0.0601, 261.57
93, 0.4106, 0.7977, 0.2023, 0.1480, 0.0603, 261.14
94, 0.4072, 0.7988, 0.2012, 0.1463, 0.0597, 261.22
95, 0.4090, 0.7982, 0.2018, 0.1473, 0.0600, 261.25
96, 0.4061, 0.7994, 0.2006, 0.1460, 0.0594, 261.40
97, 0.4061, 0.7995, 0.2005, 0.1461, 0.0595, 261.44
98, 0.4035, 0.7999, 0.2001, 0.1444, 0.0591, 261.40
99, 0.4048, 0.8002, 0.1998, 0.1457, 0.0593, 261.26
100, 0.4026, 0.8008, 0.1992, 0.1444, 0.0590, 261.52
101, 0.4012, 0.8015, 0.1985, 0.1440, 0.0588, 260.82
102, 0.3989, 0.8018, 0.1982, 0.1424, 0.0583, 261.51
103, 0.4004, 0.8016, 0.1984, 0.1435, 0.0585, 261.41
104, 0.3992, 0.8020, 0.1980, 0.1428, 0.0584, 261.44
105, 0.3983, 0.8027, 0.1973, 0.1427, 0.0582, 261.25
106, 0.3961, 0.8033, 0.1967, 0.1416, 0.0579, 261.28
107, 0.3964, 0.8034, 0.1966, 0.1419, 0.0579, 261.07
108, 0.3948, 0.8039, 0.1961, 0.1409, 0.0577, 261.31
109, 0.3937, 0.8043, 0.1957, 0.1406, 0.0574, 260.98
110, 0.3905, 0.8058, 0.1942, 0.1394, 0.0569, 261.13
111, 0.3912, 0.8056, 0.1944, 0.1397, 0.0571, 261.34
112, 0.3930, 0.8050, 0.1950, 0.1405, 0.0574, 261.50
113, 0.3924, 0.8052, 0.1948, 0.1403, 0.0573, 261.54
114, 0.3920, 0.8056, 0.1944, 0.1404, 0.0572, 261.15
115, 0.3877, 0.8068, 0.1932, 0.1381, 0.0564, 261.58
116, 0.3893, 0.8069, 0.1931, 0.1394, 0.0569, 261.48
117, 0.3872, 0.8070, 0.1930, 0.1378, 0.0564, 261.41
118, 0.3886, 0.8071, 0.1929, 0.1390, 0.0567, 261.35
119, 0.3867, 0.8073, 0.1927, 0.1376, 0.0564, 261.39
120, 0.3822, 0.8089, 0.1911, 0.1356, 0.0556, 261.47
121, 0.3846, 0.8081, 0.1919, 0.1367, 0.0560, 261.30
122, 0.3842, 0.8087, 0.1913, 0.1369, 0.0559, 261.32
123, 0.3815, 0.8094, 0.1906, 0.1354, 0.0555, 261.31
124, 0.3838, 0.8088, 0.1912, 0.1367, 0.0559, 261.46
125, 0.3797, 0.8104, 0.1896, 0.1349, 0.0551, 261.47
126, 0.3797, 0.8105, 0.1895, 0.1351, 0.0552, 261.21
127, 0.3788, 0.8107, 0.1893, 0.1345, 0.0550, 261.36
128, 0.3789, 0.8107, 0.1893, 0.1344, 0.0551, 260.87
129, 0.3790, 0.8110, 0.1890, 0.1349, 0.0551, 261.40
130, 0.3759, 0.8119, 0.1881, 0.1333, 0.0546, 261.22
131, 0.3740, 0.8128, 0.1872, 0.1326, 0.0542, 261.08
132, 0.3759, 0.8120, 0.1880, 0.1334, 0.0545, 261.26
133, 0.3752, 0.8122, 0.1878, 0.1329, 0.0545, 261.35
134, 0.3757, 0.8126, 0.1874, 0.1336, 0.0546, 261.12
135, 0.3729, 0.8130, 0.1870, 0.1318, 0.0541, 261.51
136, 0.3720, 0.8133, 0.1867, 0.1314, 0.0539, 261.21
137, 0.3724, 0.8132, 0.1868, 0.1317, 0.0540, 261.34
138, 0.3718, 0.8137, 0.1863, 0.1317, 0.0539, 261.36
139, 0.3720, 0.8138, 0.1862, 0.1319, 0.0539, 261.09
140, 0.3698, 0.8144, 0.1856, 0.1305, 0.0536, 261.36
141, 0.3700, 0.8145, 0.1855, 0.1309, 0.0536, 261.44
142, 0.3684, 0.8156, 0.1844, 0.1306, 0.0534, 261.25
143, 0.3662, 0.8158, 0.1842, 0.1290, 0.0530, 261.47
144, 0.3703, 0.8150, 0.1850, 0.1315, 0.0537, 261.42
145, 0.3687, 0.8152, 0.1848, 0.1304, 0.0535, 261.32
146, 0.3649, 0.8166, 0.1834, 0.1286, 0.0528, 261.01
147, 0.3670, 0.8160, 0.1840, 0.1299, 0.0531, 261.43
148, 0.3647, 0.8165, 0.1835, 0.1285, 0.0527, 261.38
149, 0.3655, 0.8164, 0.1836, 0.1291, 0.0529, 261.23
150, 0.3648, 0.8171, 0.1829, 0.1291, 0.0528, 260.95
151, 0.3626, 0.8173, 0.1827, 0.1275, 0.0524, 261.31
152, 0.3620, 0.8178, 0.1822, 0.1276, 0.0523, 261.07
153, 0.3622, 0.8179, 0.1821, 0.1277, 0.0524, 261.16
