Epoch, Loss, Dice Score, Dice Loss, CE Loss, Time
1, 1.4059, 0.3775, 0.6225, 0.7834, 273.75
2, 0.9162, 0.5247, 0.4753, 0.4410, 252.90
3, 0.7802, 0.5865, 0.4135, 0.3667, 252.04
4, 0.7070, 0.6238, 0.3762, 0.3308, 253.05
5, 0.6645, 0.6456, 0.3544, 0.3101, 252.19
6, 0.6332, 0.6615, 0.3385, 0.2947, 252.26
7, 0.6115, 0.6730, 0.3270, 0.2845, 251.72
8, 0.5941, 0.6811, 0.3189, 0.2753, 252.05
9, 0.5788, 0.6885, 0.3115, 0.2673, 252.71
10, 0.5664, 0.6946, 0.3054, 0.2610, 253.50
11, 0.5542, 0.7000, 0.3000, 0.2542, 257.22
12, 0.5453, 0.7037, 0.2963, 0.2490, 258.78
13, 0.5382, 0.7076, 0.2924, 0.2458, 256.43
14, 0.5291, 0.7114, 0.2886, 0.2405, 254.75
15, 0.5226, 0.7145, 0.2855, 0.2371, 257.01
16, 0.5160, 0.7172, 0.2828, 0.2332, 296.73
17, 0.5088, 0.7202, 0.2798, 0.2290, 293.10
18, 0.5023, 0.7231, 0.2769, 0.2255, 297.42
19, 0.4997, 0.7248, 0.2752, 0.2245, 296.91
20, 0.4920, 0.7277, 0.2723, 0.2197, 296.89
21, 0.4885, 0.7297, 0.2703, 0.2182, 294.12
22, 0.4835, 0.7320, 0.2680, 0.2154, 270.23
23, 0.4757, 0.7349, 0.2651, 0.2106, 254.92
24, 0.4726, 0.7364, 0.2636, 0.2090, 254.47
25, 0.4707, 0.7378, 0.2622, 0.2085, 255.05
26, 0.4650, 0.7399, 0.2601, 0.2049, 254.64
27, 0.4619, 0.7418, 0.2582, 0.2036, 256.16
28, 0.4572, 0.7433, 0.2567, 0.2005, 255.55
29, 0.4549, 0.7448, 0.2552, 0.1997, 260.27
30, 0.4525, 0.7458, 0.2542, 0.1984, 264.49
31, 0.4491, 0.7475, 0.2525, 0.1966, 248.69
32, 0.4453, 0.7492, 0.2508, 0.1945, 251.15
33, 0.4424, 0.7504, 0.2496, 0.1928, 251.20
34, 0.4387, 0.7524, 0.2476, 0.1912, 250.18
35, 0.4374, 0.7529, 0.2471, 0.1903, 250.11
36, 0.4339, 0.7543, 0.2457, 0.1882, 252.18
37, 0.4286, 0.7565, 0.2435, 0.1851, 251.58
38, 0.4304, 0.7565, 0.2435, 0.1868, 252.41
39, 0.4245, 0.7586, 0.2414, 0.1831, 249.58
40, 0.4228, 0.7596, 0.2404, 0.1824, 251.91
