Epoch, Loss, Dice Score, Dice Loss, CE Loss, Time
1, 1.4109, 0.3755, 0.6245, 0.7864, 86.01
2, 0.9184, 0.5235, 0.4765, 0.4419, 97.22
3, 0.7833, 0.5852, 0.4148, 0.3684, 146.87
4, 0.7088, 0.6230, 0.3770, 0.3318, 156.15
5, 0.6649, 0.6455, 0.3545, 0.3104, 123.38
6, 0.6346, 0.6609, 0.3391, 0.2955, 129.38
7, 0.6126, 0.6724, 0.3276, 0.2850, 117.36
8, 0.5944, 0.6810, 0.3190, 0.2754, 161.12
9, 0.5814, 0.6876, 0.3124, 0.2690, 123.16
10, 0.5671, 0.6944, 0.3056, 0.2615, 123.60
11, 0.5575, 0.6990, 0.3010, 0.2565, 106.21
12, 0.5469, 0.7031, 0.2969, 0.2500, 125.93
13, 0.5386, 0.7072, 0.2928, 0.2458, 142.56
14, 0.5284, 0.7115, 0.2885, 0.2398, 112.90
15, 0.5231, 0.7140, 0.2860, 0.2371, 130.52
16, 0.5168, 0.7169, 0.2831, 0.2338, 109.39
17, 0.5101, 0.7203, 0.2797, 0.2303, 131.18
18, 0.5034, 0.7228, 0.2772, 0.2262, 120.28
19, 0.4977, 0.7253, 0.2747, 0.2230, 140.40
20, 0.4923, 0.7278, 0.2722, 0.2201, 109.03
21, 0.4876, 0.7300, 0.2700, 0.2176, 104.56
22, 0.4802, 0.7326, 0.2674, 0.2127, 117.87
23, 0.4768, 0.7346, 0.2654, 0.2114, 103.46
24, 0.4726, 0.7365, 0.2635, 0.2092, 112.89
25, 0.4701, 0.7380, 0.2620, 0.2081, 101.14
26, 0.4664, 0.7394, 0.2606, 0.2059, 118.19
27, 0.4594, 0.7426, 0.2574, 0.2020, 106.88
28, 0.4576, 0.7434, 0.2566, 0.2010, 100.75
29, 0.4539, 0.7453, 0.2547, 0.1992, 107.68
30, 0.4483, 0.7474, 0.2526, 0.1957, 101.81
31, 0.4496, 0.7479, 0.2521, 0.1975, 110.93
32, 0.4436, 0.7497, 0.2503, 0.1933, 106.56
33, 0.4427, 0.7513, 0.2487, 0.1939, 101.55
34, 0.4377, 0.7524, 0.2476, 0.1901, 100.86
35, 0.4358, 0.7534, 0.2466, 0.1892, 100.98
36, 0.4322, 0.7552, 0.2448, 0.1874, 121.22
37, 0.4273, 0.7567, 0.2433, 0.1840, 100.63
38, 0.4260, 0.7577, 0.2423, 0.1837, 101.41
39, 0.4244, 0.7585, 0.2415, 0.1829, 107.75
40, 0.4222, 0.7598, 0.2402, 0.1820, 175.08
41, 0.4200, 0.7608, 0.2392, 0.1807, 109.56
42, 0.4174, 0.7620, 0.2380, 0.1794, 106.19
43, 0.4144, 0.7632, 0.2368, 0.1776, 101.03
44, 0.4144, 0.7638, 0.2362, 0.1782, 110.95
45, 0.4106, 0.7654, 0.2346, 0.1759, 122.16
46, 0.4080, 0.7664, 0.2336, 0.1745, 113.15
47, 0.4064, 0.7675, 0.2325, 0.1739, 101.27
48, 0.4027, 0.7689, 0.2311, 0.1716, 102.83
49, 0.4018, 0.7694, 0.2306, 0.1712, 101.26
50, 0.4006, 0.7703, 0.2297, 0.1709, 104.21
51, 0.3970, 0.7713, 0.2287, 0.1683, 112.45
52, 0.3968, 0.7720, 0.2280, 0.1688, 100.92
53, 0.3951, 0.7724, 0.2276, 0.1675, 100.47
54, 0.3907, 0.7747, 0.2253, 0.1654, 104.78
55, 0.3924, 0.7743, 0.2257, 0.1668, 127.17
56, 0.3903, 0.7755, 0.2245, 0.1658, 119.66
57, 0.3869, 0.7765, 0.2235, 0.1634, 101.67
58, 0.3878, 0.7766, 0.2234, 0.1643, 100.56
59, 0.3845, 0.7779, 0.2221, 0.1624, 100.49
60, 0.3826, 0.7786, 0.2214, 0.1612, 100.55
61, 0.3807, 0.7796, 0.2204, 0.1603, 100.15
62, 0.3806, 0.7796, 0.2204, 0.1602, 100.33
63, 0.3791, 0.7806, 0.2194, 0.1597, 100.17
64, 0.3757, 0.7818, 0.2182, 0.1575, 117.70
65, 0.3732, 0.7830, 0.2170, 0.1562, 102.57
66, 0.3745, 0.7829, 0.2171, 0.1573, 100.23
67, 0.3733, 0.7833, 0.2167, 0.1566, 129.75
68, 0.3704, 0.7844, 0.2156, 0.1548, 115.14
69, 0.3697, 0.7848, 0.2152, 0.1545, 100.91
70, 0.3678, 0.7857, 0.2143, 0.1534, 100.22
71, 0.3685, 0.7858, 0.2142, 0.1543, 113.72
72, 0.3649, 0.7871, 0.2129, 0.1521, 100.20
73, 0.3643, 0.7875, 0.2125, 0.1517, 100.47
74, 0.3637, 0.7883, 0.2117, 0.1520, 109.94
75, 0.3623, 0.7888, 0.2112, 0.1511, 101.02
76, 0.3604, 0.7896, 0.2104, 0.1501, 121.48
77, 0.3605, 0.7896, 0.2104, 0.1502, 99.98
78, 0.3593, 0.7900, 0.2100, 0.1493, 100.22
79, 0.3587, 0.7909, 0.2091, 0.1496, 100.92
80, 0.3560, 0.7918, 0.2082, 0.1479, 100.84
81, 0.3550, 0.7927, 0.2073, 0.1477, 100.82
82, 0.3535, 0.7932, 0.2068, 0.1466, 100.79
83, 0.3520, 0.7939, 0.2061, 0.1458, 101.21
84, 0.3509, 0.7942, 0.2058, 0.1451, 100.99
85, 0.3526, 0.7940, 0.2060, 0.1466, 100.86
86, 0.3496, 0.7952, 0.2048, 0.1448, 100.85
87, 0.3496, 0.7953, 0.2047, 0.1448, 101.03
88, 0.3475, 0.7961, 0.2039, 0.1436, 101.12
89, 0.3443, 0.7976, 0.2024, 0.1419, 100.75
90, 0.3450, 0.7973, 0.2027, 0.1423, 100.97
91, 0.3444, 0.7980, 0.2020, 0.1424, 100.91
92, 0.3439, 0.7979, 0.2021, 0.1418, 100.60
93, 0.3435, 0.7983, 0.2017, 0.1418, 100.89
94, 0.3410, 0.7995, 0.2005, 0.1405, 100.87
95, 0.3396, 0.7999, 0.2001, 0.1395, 100.68
96, 0.3409, 0.7998, 0.2002, 0.1407, 100.84
97, 0.3387, 0.8005, 0.1995, 0.1392, 100.78
98, 0.3381, 0.8011, 0.1989, 0.1392, 100.85
99, 0.3378, 0.8012, 0.1988, 0.1390, 100.72
100, 0.3361, 0.8019, 0.1981, 0.1380, 100.84
101, 0.3366, 0.8020, 0.1980, 0.1386, 100.61
102, 0.3337, 0.8030, 0.1970, 0.1368, 100.67
103, 0.3349, 0.8029, 0.1971, 0.1377, 100.96
104, 0.3326, 0.8037, 0.1963, 0.1363, 100.82
105, 0.3337, 0.8035, 0.1965, 0.1372, 101.25
106, 0.3337, 0.8037, 0.1963, 0.1374, 101.16
107, 0.3299, 0.8047, 0.1953, 0.1345, 101.05
108, 0.3303, 0.8051, 0.1949, 0.1353, 101.17
109, 0.3287, 0.8055, 0.1945, 0.1342, 100.60
110, 0.3280, 0.8062, 0.1938, 0.1342, 100.97
111, 0.3291, 0.8058, 0.1942, 0.1349, 101.13
112, 0.3280, 0.8063, 0.1937, 0.1343, 100.96
113, 0.3268, 0.8067, 0.1933, 0.1335, 101.04
114, 0.3261, 0.8071, 0.1929, 0.1333, 101.02
115, 0.3252, 0.8077, 0.1923, 0.1329, 100.95
116, 0.3258, 0.8075, 0.1925, 0.1333, 101.04
117, 0.3246, 0.8079, 0.1921, 0.1325, 101.20
118, 0.3236, 0.8083, 0.1917, 0.1319, 100.93
119, 0.3215, 0.8093, 0.1907, 0.1308, 101.33
120, 0.3227, 0.8094, 0.1906, 0.1321, 101.29
121, 0.3204, 0.8101, 0.1899, 0.1306, 101.02
122, 0.3208, 0.8100, 0.1900, 0.1308, 101.00
123, 0.3186, 0.8108, 0.1892, 0.1295, 101.04
124, 0.3183, 0.8111, 0.1889, 0.1294, 101.27
125, 0.3193, 0.8110, 0.1890, 0.1303, 101.14
126, 0.3170, 0.8118, 0.1882, 0.1288, 101.08
127, 0.3169, 0.8118, 0.1882, 0.1287, 101.25
128, 0.3144, 0.8130, 0.1870, 0.1274, 101.02
129, 0.3179, 0.8119, 0.1881, 0.1298, 101.12
130, 0.3150, 0.8129, 0.1871, 0.1280, 101.11
131, 0.3129, 0.8139, 0.1861, 0.1268, 101.21
132, 0.3139, 0.8134, 0.1866, 0.1272, 100.58
133, 0.3137, 0.8135, 0.1865, 0.1272, 101.13
134, 0.3120, 0.8144, 0.1856, 0.1264, 101.03
135, 0.3109, 0.8149, 0.1851, 0.1258, 101.15
136, 0.3127, 0.8141, 0.1859, 0.1269, 102.06
137, 0.3107, 0.8151, 0.1849, 0.1257, 101.26
138, 0.3093, 0.8157, 0.1843, 0.1250, 101.28
139, 0.3096, 0.8155, 0.1845, 0.1251, 100.88
140, 0.3089, 0.8161, 0.1839, 0.1249, 101.02
141, 0.3084, 0.8164, 0.1836, 0.1248, 101.33
142, 0.3095, 0.8162, 0.1838, 0.1257, 101.03
143, 0.3071, 0.8169, 0.1831, 0.1240, 101.21
144, 0.3065, 0.8172, 0.1828, 0.1236, 101.31
145, 0.3061, 0.8174, 0.1826, 0.1235, 101.01
146, 0.3048, 0.8180, 0.1820, 0.1228, 99.50
147, 0.3058, 0.8175, 0.1825, 0.1233, 100.99
148, 0.3057, 0.8177, 0.1823, 0.1234, 101.26
149, 0.3062, 0.8178, 0.1822, 0.1239, 101.07
150, 0.3040, 0.8186, 0.1814, 0.1226, 101.00
151, 0.3033, 0.8192, 0.1808, 0.1225, 101.04
